,symptoms,symptom_ids,symptom_describe
283,기민상태,SS000268,"자극이 없어도 깨어나고 시각적, 청각적, 촉각적 자극에 즉각 반응하는 상태
"
284,금단증상,SS000619,"지속적으로 사용하던 물질(알코올, 니코틴 등)을 갑자기 중단하거나 양을 줄일 경우 발생하는 생리적, 심리적 이상 증상 
"
285,외부 생식기가 모호함,SS000467,"외부 생식기의 남, 녀 구분이 모호함
"
286,안검내반,SS000209,"눈꺼풀의 가장자리가 안쪽, 즉 눈으로 말려들어가 속눈썹이 각막과 접촉함으로써 지속적으로 자극을 주는 현상
"
287,실신,SS000676,"뇌의 혈액순환 문제 또는 중추신경 이상으로 인해 일시적으로 의식을 잃는 상태
"
288,사물이 찌그러져 보임,SS000199,"망막에 생긴 이상으로 사물이 형태가 찌그러진 것처럼 보이는 것
"
289,심방 부정맥,SS000883,"심장은 좌우 두개의 심방과 심실로 구성이 되며 심장 근육의 전기적 자극에 의해 수축과 이완을 한다. 이때 정상 전도로가 아닌 심방 조직에서 전기적 신호가 발생하거나 전달에 이상이 있는 경우를 심방 부정맥이라고 한다.
"
290,수면 시작이 어려움,SS000097,"잠이 들기까지 시간이 오래걸림
"
291,코가 삐뚤어짐,SS000742,"코의 모양이 바르지 못하고 한쪽으로 기울어지거나 쏠린 모양
"
292,각질이 딱딱해짐,SS000780,"피부 표피가 딱딱함
"
293,얼굴 중심선이 안맞음,SS000307,"얼굴이 중심선을 기준으로 좌,우 균형이 맞지 않음
"
294,이중턱,SS000323,"턱 아래가 볼록해진 상태
"
295,복부의 박동감,SS000401,"복부에서 맥이 뛰는 느낌이 느껴짐
"
296,여드름,SS000823,"모낭과 연결된 피지선에 발생한 염증성 피부 질환
"
297,근육강직,SS000614,"근육이 딱딱하게 굳어지는 느낌이나 상태
"
298,자제력 상실 두려움,SS000130,"자신의 욕구를 스스로 통제하는 힘을 잃는 것에 대해 두려운 느낌이 듬
"
299,피부 건조,SS000843,"미세한 비늘이나 피부 갈라짐, 소양감 등이 나타나는 피부의 수분 부족 상태
"
300,오심,SS000416,"속이 메스꺼워 구토를 할 것 같은 느낌
"
301,앞이 뿌옇게 보임,SS000219,"안개가 낀 것 처럼 보임
"
302,수면 유지가 어려움,SS000098,"잠이 든 후 자주 깸
"
303,피부소양감,SS000740,"피부를 긁거나 비벼대고 싶은 욕망을 일으키는 불편한 느낌
"
304,가래,SS000859,"기관지나 폐에서 나오는 분비물
"
305,놀람반사의 약화,SS000277,"신생아가 소음이나 갑작스런 자극에 대해 놀라거나 팔과 다리를 뻗고 주먹을 꽉 쥐고 포옹을 하듯이 팔을 다시 끌어당기는 행동이 약함 
"
306,눈꺼풀 처짐증,SS000178,"눈꺼풀을 들어올리는 근육에 이상이 있어 눈꺼풀이 잘 올려지지 않는 상태
"
307,경련,SS000598,"자신의 의지와 상관없이 전신 또는 신체 일부가 마비되거나 떨리는 증상
"
308,귀두가 울혈됨,SS000444,"귀두에 피가 몰림
"
309,다리가 잘 안 벌어짐,SS000235,"똑바로 누워 다리를 벌렸을 때 벌어지지 않음
"
310,손가락 운동장애,SS000497,"손가락을 굽히거나 펴는 등의 운동에 이상이 있는 상태 
"
311,경직,SS000600,"몸이 뻣뻣하게 굳음
"
312,생식기 부종,SS000458,"생식기, 회음부가 부은 상태
"
313,구강호흡,SS000555,"코가 막히거나 기타 다른 이유로 코로 숨쉬지 않고 입으로 숨을 쉬는 것
"
314,돌연사,SS000631,"갑작스런 죽음
"
315,목 주변 부종,SS000347,"목부위가 부은 상태
"
316,곤봉지,SS000509,"손이나 발가락 끝이 둥그렇게 굵어진 곤봉 모양을 보임
"
317,체모감소,SS000835,"호르몬 분비 이상이나 과도한 스트레스로 몸의 털이 빠져 줄어든 상태 
"
318,자살의 위험,SS000129,"자신의 목숨을 끊고자하는 행동을 보임
"
319,수면 중 소변을 봄,SS000019,"잠을 자다가 본인의 의지와 상관없이 소변을 봄
"
320,치아가 솟은 느낌,SS000580,"잇몸이 아래쪽으로 내려가 치아가 위로 올라온 것 처럼 느껴지는 것
"
321,목소리 변화,SS000348,"목소리를 내는 성대에 압박이나 자극으로 목소리에 변화가 생긴 상태
"
322,안구진탕,SS000216,"자신의 의지와 상관없이 눈이 빠르게 움직이는 상태
"
323,치아의 탈락,SS000582,"치아가 빠짐
"
324,남성스러운 목소리,SS000345,"굵고 낮은 저음의 목소리
"
325,겨드랑이 멍울,SS000541,"겨드랑이에 만져지는 혹이 있음
"
326,색소 침착,SS000819,"멜라닌이나 헤모지데린과 같은 색소가 병적으로 증가하여 짙은색으로 나타나는 상태
"
327,염증 장애에 따라 다양,SS000466,"습관성 유산, 여성불임, 인공수정과 관련한 합병증 등의 염증과 관련없는 여성생식기의 장애
"
328,눈 주변 부종,SS000175,"눈 주변 부위가 부어있는 상태
"
329,말단비대,SS000511,"뼈가 넓고 두텁게 성장하여 사지가 커지고 아래턱은 길어지고 콧등은 넓어지는 증상
"
330,근육긴장,SS000615,"근육이 수축하여 단단히 뭉쳐있는 상태
"
331,혈변,SS000538,"피가 섞인 대변이 배출됨
"
332,경부 운동 제한,SS000342,"목의 움직임이 제한됨
"
333,"4,5번째 손가락 굽음",SS000493,"손가락 운동을 조절하는 근육이나 건에 이상이 생겨 구부러진 상태
"
334,신경과민,SS000671,"심신의 과로나 지속적인 스트레스에 대해 과민하게 반응하여 초조해지기 쉽고, 피로해지기 쉬운 상태
"
335,와해된 행동,SS000111,"상황이나 논리에 맞지 않는 행동을 함
"
336,항문출혈,SS000536,"항문 주변에서 나는 출혈로 선명한 붉은 색을 띠는 출혈
"
337,체중증가,SS000713,"체중이 늘어남
"
338,지연뇨,SS000481,"소변을 볼 때 소변이 나올 때까지 시간이 오래 걸림
"
339,생리량 감소,SS000455,"호르몬 이상으로 생리양이 병적으로 감소하는 상태
"
340,출혈 경향성,SS000716,"작은 자극, 손상에도 쉽게 출혈되는 상태
"
341,사망,SS000657,"죽음
"
342,가늘어지는 팔다리,SS000761,"팔다리의 근육이나 지방이 감소하여 굵기가 가늘어짐
"
343,비문증,SS000197,"먼지나 벌레 같은 것이 떠다니는 것 같은 증상
"
344,흉곽 팽윤,SS000911,"


흉곽이 부피가 커짐



"
345,쇼크,SS000665,"순환혈액량 감소나 말초혈관의 확장, 심장 이상, 신경성, 아나필락시스 등의 원인에 의해 조직에 저산소증을 일으켜 탄산가스나 유산 등의 대사산물의 축적을 일으킨 상태
"
346,각막 위로 결막 침범,SS000165,"눈의 각막(검은부분) 위로 결막(흰부분)이 침범한 상태
"
347,피부염증,SS000852,"


발적, 종창, 열감, 통증을 동반하는 피부의 염증 상태



"
348,수면장애,SS000102,"불면증, 과다 수면, 기면병, 수면 무호흡증,악몽, 야경증, 몽유병 등의 원인에 의해 수면에 곤란이나 이상이 있을 경우
"
349,배꼽이 솟음,SS000394,"배꼽이 복벽의 높이보다 튀어나옴
"
350,몸살,SS000641,"몸이 쑤시거나 나른하며 기운이 없고 오한이 나는 상태
"
351,회음부 불쾌감,SS000488,"항문과 회음부에 기분 나쁜 느낌이 있음
"
352,사마귀 위 털이 많음,SS000816,"사마귀가 난 부위 위로 털의 양이 많아지거나 굵어짐
"
353,음경이 휘어짐,SS000472,"음경이 구부러짐
"
354,반복적인 동작,SS000646,"자신의 의지와 상관없이 신체가 동일한 행동을 하는 증상
"
355,무호흡,SS000870,"호흡이 없음
"
356,다뇨,SS000005,"소변의 양이 비정상적으로 많음
"
357,피가 정액에 나옴,SS000487,"정액이 피가 섞여 붉음
"
358,검은색 가래,SS000865,"탄가루같은 검은 물질이 섞인 검은색의 가래
"
359,하얀 반점,SS000858,"점막이나 피부에 나타나는 흰색의 반점
"
360,귀에서 냄새가 남,SS000047,"귀에서 악취가 남
"
361,림프 부종,SS000635,"림프관에 문제가 생겨 피하 조직에 림프액이 고여 단단해지고 부어있는 상태
"
362,X자 다리,SS000254,"똑바로 섰을 때 무릎 아래가 바깥으로 벌어져 있고 양 발목은 어른 주먹 한 개 이상이 들어갈 정도로 벌어져있는 다리 상태
"
363,기억장애,SS000269,"기억력에 문제가 생겨 잘 기억하지 못하는 상태
"
364,손상부위 촉각 소실,SS000774,"손생된 부위에 신경이 손상되어 만지는 느낌이 없음
"
365,발작적인 울음 ,SS000649,"병적으로 갑자기 세차게 발생하는 울음
"
366,식욕증가,SS000104,"먹고자 하는 의지가 강해짐
"
367,눈이 무거운 느낌,SS000189,"눈이 피곤하고 묵직해진 느낌
"
368,소변이 샘,SS000018,"자기도 모르는 사이에 소변이 나오거나, 소변이 마렵다는 느낌은 드나 참지 못하며 옷에 실수를 하고, 기침을 하거나 갑자기 움직이거나 방귀를 뀌어도 소변이 나오는 것
"
369,신발 안쪽이 주로 닳음,SS000377,"신발 안쪽이 땅에 많이 쓸림
"
370,엄지 발가락의 돌출,SS000379,"엄지발가락이 바깥쪽으로 튀어나옴
"
371,양무릎사이 벌어짐,SS000243,"다리가 바깥쪽으로 휘어 무릎 사이 간격이 넓어짐
"
372,요정체,SS000026,"소변이 나가는 길이 막히거나 배뇨를 관장하는 신경에 이상이 생겨 소변이 배설되지 못하고 체내에 머물고 있는 상태
"
373,오후 우울감 완화,SS000109,"우울한 상태가 오후 시간이 되었을 때 호전을 보임
"
374,달걀 위에 앉아있는 느낌,SS000521,"회음부에 생긴 건강문제로 인한 이물감 때문에 마치 달걀위에 앉은 듯한 불편한 느낌
"
375,동정맥루 잡음 약화,SS000752,"정상적인 동정맥루에서 나는 잡음보다 소리가 작아짐
"
376,미세반점의 군집,SS000804,"작은 반점이 무리지어 있음
"
377,심근손상,SS000882,"외상이나 허혈, 염증 등의 원인에 의해 심장을 구성하는 근육 조직에 손상이 있는 상태
"
378,코의 모공이 커짐,SS000746,"코에 모공의 크기가 커져 까맣게 점처럼 보임
"
379,안구건조,SS000212,"눈 구조물의 염증, 외상, 노화 등의 원인에 의해 눈물의 분비가 줄어들거나 눈물의 성분에 변화가 생겨 눈이 건조하게 느껴지는 증세
"
380,고정된 믿음,SS000060,"자신이 생각하고 있는 것만이 옳다고 함
"
381,혈소판감소 ,SS000724,"혈액검사 결과 상  혈소판 수치가  감소한 상태
"
382,위험한 행동 반복,SS000117,"자해나 타해를 반복하여 일으킴
"
383,안면 변형,SS000302,"얼굴 모양이 구조적인 변화가 있음
"
384,고환에 낭이 만져짐,SS000443,"고환에 물주머니와 같은 덩어리가 만져지는 것
"
385,이마가 넓어짐,SS000321,"머리카락 시작선이 뒤로 물러나 이마의 넓이가 넓게 보임
"
386,자궁 수축,SS000030,"분만이 아닌 때 있는 비정상 자궁 수축
"
387,언어장애,SS000306,"외상이나 뇌병변 등의 원인으로 인해 말하는 능력이나 듣고 이해하는 능력에 장애가 생기는 현상
"
388,구각염,SS000552,"입꼬리 부분에 생긴 염증
"
389,뻣뻣함,SS000242,"뼈와 뼈 사이를 잇는 관절이 굳어 뻣뻣하게 느껴지는 증상
"
390,당뇨,SS000628,"혈관 속에 포도당이 과다하게 증가하여 소변으로 포도당이 배출되는 것
"
391,기운없음,SS000621,"쇠약하여 일을 감당할 수 있는 에너지와 힘이 없음
"
392,좁은 공간에서의 불안감,SS000140,"급히 빠져나갈 수 없는 장소 또는 도움을 받기 어려운 장소나 상황에 혼자 가는 것을 두려워하는 상태
"
393,안면홍조,SS000305,"얼굴이 붉어짐
"
394,잦은 감염,SS000696,"균(박테리아)이나 바이러스,기생충 등이 인체로 들어와 건강문제를 일으키는 것
"
395,거품이 섞인 가래,SS000864,"기관지나 폐에서 나오는 거품과 같은 분비물
"
396,불규칙적 진통,SS000013,"자궁 수축의 간격이 불규칙한 상태
"
397,성대마비,SS000354,"목소리를 내는 성대 근육의 마비로 쉰목소리를 내거나 소리를 내지 못하는 상태
"
398,남: 9세 전 2차 성징,SS000623,"9세 이전에 고환이나 성기가 커지는 등의 2차 성징이 나타남
"
399,침침함,SS000228,"사물이 똑똑히 보이지 않고 흐릿함
"
400,십이지장궤양,SS000410,"십이지장 점막이 헬리코박터균의 감염, 흡연 등 여러가지 원인에 의해 표면 점막층보다 깊이 패여 손상된 상태
"
401,안구 이상,SS000211,"안구 마비로 안구 운동 및 시각에 장애가 있음
"
402,안쪽 발이 튀어 나옴,SS000378,"발 안쪽이 움푹 들어가지 않고 튀어나와 편평한 상태임
"
403,지남력 장애,SS000326,"시간, 장소, 사람에 대한 적절한 인식을 하지 못하는 상태
"
404,조급증,SS000138,"느긋하지 않고 매우 급한 성질
"
405,고환 불쾌감,SS000441,"고환 부위에 좋지 않은 느낌이 있음
"
406,부분적 음순융합,SS000450,"선천적 결함으로 음순의 양쪽 부분이 부분적으로 합쳐져 있음
"
407,뼈의 통증,SS000656,"건강문제가 발생한 부위의 뼈에서 느껴지는 통증
"
408,피학증,SS000150,"성적 쾌락을 얻기 위해 모욕이나 고통을 받으려고 하는 증상
"
409,음핵비대,SS000478,"음핵이 커짐
"
410,성생활이 힘듦,SS000465,"정상적인 성관계가 어려움
"
411,사래걸림,SS000876,"기도, 기관지, 폐로 이물질을 들여마셔 나타나는 기침 등의 호흡기 반응
"
412,손마디가 뻣뻣해짐,SS000501,"손가락을 굽히거나 펴는 등의 운동 시 손가락 관절이 굳어져 뻣뻣한 느낌이 드는 상태
"
413,긴장,SS000063,"골격근육이 일정한 단축 상태에 있거나 감정, 감각, 행동의 원인이 되는 심리적 상태 
"
414,흉부압박감,SS000912,"


가슴을 무겁게 누르거나 꽉 조이는 느낌



"
415,이상행동,SS000121,"평소와 다른 행동을 보임
"
416,사회적 고립,SS000089,"동료에게 전혀 관심을 끌지 못하거나 그룹활동에서 선택되지 못하는 것
"
417,근긴장의 이상,SS000611,"정상 근육 긴장도에 비해 감소하거나 증가한 이상 상태 
"
418,어깨의 통증,SS000757,"어깨 부위에서 느껴지는 통증
"
419,후궁반장,SS000732,"척추가 활 모양으로 둥굴게 휘면서 과신전되고 경직되는 발작
"
420,유방의 멍울,SS000547,"유방에서 만져지는 혹
"
421,임신 주수보다 작은 배,SS000028,"임신 주수에 따라 평균적으로 나와야하는 배보다 작은 경우 
"
422,임신중 배의 크기가 줄어듦,SS000029,"임신 중 나온 배가 다시 작아지는 상태
"
423,고막 충혈,SS000043,"귀 안쪽 고막에 혈액이 몰려 붉게 보이는 상태
"
424,수유 곤란,SS000565,"엄마의 유방 문제나 아기의 구강 문제로 수유하기 어려운 상태를 말함
"
425,신장 발육부전,SS000674,"신장이 정상보다 크기가 작음
"
426,권리를 강하게 주장,SS000062,"자신의 권리를 과도하게 강하게 표현함
"
427,흑색변,SS000540,"검은색의 변
"
428,무논리증,SS000074,"말이나 사고가 이치에 맞지 않음
"
429,어지러움,SS000737,"실제 정지해 있음에도 불구하고 빙글빙글 도는 듯한 느낌
"
430,야맹,SS000220,"밝은 곳에서 어두운 곳으로 들어갈 때 적응을 하지 못하거나 희미한 불빛 아래 또는 어두운 곳에서 사물을 분간하기 어려운 증상
"
431,태아 심박동수 이상,SS000038,"태아의 심장 박동수가 정상에서 벗어난 상태
"
432,눈부심,SS000182,"밝은 빛을 잘 보지 못하는 증상
"
433,에너지가 적음,SS000681,"어떤 일을 하고자 하는 의지가 적음
"
434,죽음에 대한 공포,SS000141,"어떠한 행동의 결과로 죽을 수도 있다거나 죽는다는 것 자체에 대한 공포감이 심함
"
435,척추 후만,SS000261,"척추가 뒤로 휨
"
436,"태아, 신생아의 기형",SS000146,"검사 시 뱃속 태아에게서나 출생 후 신생아에게서 기형이 관찰됨
"
437,"태아 뼈,근육의 기형",SS000145,"검사 시 뱃속 태아의 골격에 기형이 관찰됨
"
438,헛기침,SS000906,"가래를 배출하지 않는 기침. 호흡을 효율적으로 하기 위해 기도의 이물질을 밖으로 배출하려는 방어적 반사작용.
"
439,고음에서의 분열,SS000344,"소리를 낼 때 높은 음에서 갈라지는 소리가 남
"
440,문맥성고혈압,SS000392,"간으로 이동하는 혈류인 간문맥의 압력이 높아진 상태
"
441,빈혈,SS000654,"혈액 속에 헤모글로빈 농도가 감소한 상태로 혈액의 산소 운반 기능이 떨어져 얼굴이 창백해지고 쉽게 피로감을 느끼는 것
"
442,얼굴이 화끈거림,SS000315,"얼굴에 실제로 열감이 있거나 열감이 있는 것처럼 느껴짐
"
443,삼키기 곤란 ,SS000352,"씹고 삼키는 능력의 손실 또는 손상으로 먹는 능력이 저하되어 어려움이 있는 상태
"
444,우울,SS000114,"기분, 생각, 사고과정, 동기, 의욕, 관심, 행동, 수면, 신체활동 등 전반적인 정신 기능이 저하된 상태
"
445,코의 기형 동반,SS000745,"다른 부위에 기형과 함께 코의 기형이 함께 나타남
"
446,비관주의,SS000082,"나쁜 결과나 과정만 생각함
"
447,털이 동반되기도 함,SS000840,"피부 착색 부위에 털이 촘촘하게 남
"
448,갈퀴족지 ,SS000368,"발가락의 마디가 굽어져 발 모양의 변형을 보임
"
449,분홍색의 반흔,SS000811,"


상처가 아문 자리에 분홍색으로 자국이 남음



"
450,발음 이상,SS000562,"발음에 관여하는 입술, 혀, 치아 등에 이상이 있어 정확하지 않은 소리를 내는 것
"
451,무도증,SS000643,"자신의 의지와 상관없이 신체가 움직이는 증상
"
452,눈물흘림,SS000181,"눈물이 비정상적으로 많이 나는 상태
"
453,복부경련,SS000399,"복부 근육이 수축하거나 떨리는 증상 
"
454,인지장애,SS000324,"뇌손상이나 질환 등 다양한 원인에 의해 사물을 분별하여 인지할 수 있는 기능에 문제가 있는 상태
"
455,나쁜 품행,SS000064,"부적절하거나 남에게 해를 끼치는 행동
"
456,태동의 위치 이상,SS000036,"태아의 운동이 느껴지는 위치가 비정상적임
"
457,감각 과민,SS000592,"자극에 대한 감각이 증가함
"
458,염좌,SS000380,"뼈와 관절을 연결하는 인대가 찢어지거나 파열된 상태
"
459,방향감각 상실,SS000294,"좌, 우, 상, 하 의 감각이 없어짐
"
460,O자 다리,SS000253,"다리를 똑바로 펴고 섰을 때 무릎 사이가 2cm에서 7.5cm 이상 바깥으로 휘어진 다리 상태
"
461,질 밖으로 빠지는 느낌,SS000482,"질이 바깥으로 나오는 느낌이 있음
"
462,합지증,SS000508,"손가락이나 발가락이 분리되지 않고 붙어 있는 것 
"
463,노란 이물질,SS000791,"환부에 노란색의 물질이 보임
"
464,적색의 각질화된 피부,SS000828,"피부 바깥쪽 표피층이 붉게 변색되어 딱딱하게 변함
"
465,함몰유두,SS000549,"한쪽 또는 양쪽 유두가 돌출되지 않고 유방 쪽으로 들어간 것
"
466,학습장애,SS000335,"지능은 정상이지만 듣기, 말하기, 읽기, 쓰기 또는 계산 능력에 심각한 문제가 나타나는 여러 장애를 말함
"
467,멍,SS000798,"피부 밑의 혈관이 터져 피부 밑조직에 출혈된 상태
"
468,시야장애,SS000206,"한 지점을 볼 때 눈을 움직이지 않고 볼 수 있는 시력 범위
"
469,목의 통증,SS000350,"목 주변에서 느껴지는 통증
"
470,안면부 열상,SS000567,"안면부가 찢어진 상태
"
471,"볼, 눈주위 움푹 꺼짐",SS000295,"피하지방층이 감소하여 눈 주변과 볼살이 꺼진 것처럼 보임
"
472,새가슴,SS000877,"흉골이 기형적으로 과도하게 돌출된 상태
"
473,두피 건조,SS000285,"머리카락 안쪽의 피부가 건조함
"
474,판단력장애,SS000148,"사물을 인식하거나 논리, 기준에 의해 판단하는 능력의 장애 
"
475,하지의 근력약화,SS000252,"다리의 근육 힘이 약화됨
"
476,음성피로,SS000356,"큰소리를 장시간 내거나 힘을 주어 목소리를 내는 등의 무리했을 때 목소리를 내는데 피로를 느끼는 것
"
477,이인증,SS000123,"자신의 심리 과정이나 신체로부터 떨어져 있는 듯한 느낌
"
478,물집성 표피 박리,SS000802,"물집이 생기면서 표피가 벗겨짐
"
479,손가락으로 밀면 들어감,SS000408," 부위가 손가락으로 밀면 일시적으로 들어감
"
480,탁한 소변,SS000035,"소변에 농이 섞여 맑지 않고 뿌옇게 보임
"
481,치아 통증,SS000578,"치아 또는 잇몸이 아픈 느낌
"
482,요로감염,SS000025,"소변이 흐르는 길에 감염이 있는 것
"
483,고막에 수포형성,SS000044,"고막에 생긴 물집
"
484,손가락 힘이 약해짐,SS000498,"물건을 쥐거나 누르는 등의 손가락 힘이 약해짐
"
485,소화불량,SS000407,"음식을 섭취한 후 일어나는 속쓰림, 트림, 구역질, 상복부 불쾌감, 위장의 팽만감, 복통 등의 소화장애 증세
"
486,이가 시림,SS000569,"양치 시, 찬물을 먹거나 음식물 섭취 중 이가 시린 느낌이 남
"
487,포만감,SS000434,"넘치도록 가득 차 있는 느낌
"
488,피로감,SS000723,"과로로 정신이나 몸이 지쳐 힘든 상태
"
489,유방의 과다 성장,SS000546,"유방 조직이 매우 커짐
"
490,무릎 부위 부종,SS000238,"무릎 부위가 부은 상태
"
491,높아진 자존심,SS000067,"병적으로 강한 자존심을 보이는 상태
"
492,음낭이 작아 보임,SS000475,"음낭의  크기가 작게 보임
"
493,눈가 및 이마 주름,SS000177,"피부 아래 콜라겐의 감소로 피부에 줄이 생김
"
494,분출성 구토,SS000404,"솟구쳐 뿜어나오는 양상의 구토
"
495,볼이 처짐,SS000296,"볼살이 아래로 쳐진 상태
"
496,접촉도착증 ,SS000131,"상대방의 신체 일부분에 몸을 문질러 쾌감이나 성적 흥분을 얻는 것
"
497,부유물이 보임,SS000196,"공기 중에 점이나 먼지같은 것이 떠다니는 것처럼 보임
"
498,눈의 충혈,SS000186,"눈의 구조물 중 하얗게 보이는 공막에 가느다란 핏줄이 불거져 빨갛게 보이는 상태
"
499,수면 후에도 피로함,SS000668,"수면 이후에도 피로가 풀리지 않고 계속 피곤한 상태
"
500,한쪽 입 꼬리의 상승,SS000587,"입의 한쪽 끝이 자신의 의지와 상관없이 올라간 상태
"
501,사물이 두개로 보임,SS000198,"하나의 사물이 두개로 보임
"
502,여: 8세 전 2차 성징,SS000682,"8세 이전에 유방이 발달하거나 월경을 시작하는 등의 2차 성징이 나타남
"
503,와해된 언어 ,SS000110,"상황이나 논리에 맞지 않는 말을 함
"
504,태아 저체중,SS000039,"태아의 몸무게가 정상 발달 단계의 평균적인 태아 몸무게보다 적은 경우
"
505,배변장애,SS000524,"설사,복통,변비 등 배변 활동의 이상 상태
"
506,닭살,SS000795,"피부가 닭살과 같이 우들두들하게 도드라진 피부 상태
"
507,근위축,SS000613,"오랫동안 사용하지 않거나 병적인 변성으로 근육 섬유의 수가 감소하여 근육의 크기가 줄어든 상태
"
508,주먹을 쥐기 힘듬,SS000507,"피부, 근육이 굳어져 주먹을 단단히 쥐기 어려움
"
509,심음 감소,SS000888,"심장 청진 시 심장 판막이 닫힐 때 나는 소리가 감소된 상태
"
510,정체감 혼란 및 변형,SS000137,"내가 누구인지 일관되게 인식하지 못하고 혼동하거나 평소와 다르게 생각함 
"
511,장액성 분비물,SS000827,"엷고 투명한 황색의 장액 같은 분비물
"
512,빈뇨,SS000015,"배뇨 횟수가 비정상적으로 증가한 상태
"
513,폐기능저하,SS000900,"


숨을 쉬고 내쉬는 등의 폐기능이 떨어진 상태



"
514,팔의 길이가 달라짐,SS000759,"팔을 앞으로 뻗었을 때 손가락 끝의 길이가 다름
"
515,폐색전,SS000903,"정맥에서 형성된 피떡(혈전)이 혈관을 따라 이동하다 폐동맥을 막아 폐순환이 좁아지거나 막힌 상태
"
516,화농성 객담,SS000910,"고름 형태의 가래
"
517,척추 측만,SS000260,"척추가 옆으로 휨
"
518,이마의 주름,SS000322,"의도적으로 힘을 주지 않아도 관찰할 수 있는 이마에 생긴 주름
"
519,악성종양발생,SS000680,"악성 종양이 여러부위에 발생함
"
520,중심시력감소,SS000226,"물체에 초점을 맞춰 상세한 부분을 보는 중심시력이 감소함
"
521,식욕부진,SS000103,"질환, 치료, 정신적 이상 상태 등의 여러가지 원인에 의해 먹고 싶은 욕구가 감소한 상태
"
522,코골이,SS000743,"수면 중 호흡시 공기가 코에서 인두를 지나며 연조직들을 진동시켜 나는 소리
"
523,지속적인 애성,SS000361,"지속적으로 쉰목소리
"
524,거대자궁,SS000001,"정상보다 비정상적으로 큰 자궁
"
525,스푼형 손톱,SS000505,"손톱이 점점 얇아지며 손톱 전체나 끝 부분이 스푼처럼 움푹 들어감
"
526,태아의 하강감,SS000040,"태아가 아래로 처치고 태아 머리가 산모의 골반으로 내려온 느낌
"
527,위장관의 허혈,SS000422,"위, 소장, 대장 등의 위장관에 혈액 공급에 문제가 있어 빈혈 상태에 빠진 것
"
528,무뇨,SS000007,"신장의 기능을 잃거나 요관이 막히거나 방광에 소변이 고이지 않아 소변을 보지 못하는 상태
"
529,다식,SS000626,"비정상적으로 음식을 많이 먹음
"
530,병적골절,SS000652,"뼛속에 생긴 병으로 인해 뼈가 약해져서 아주 약한 힘이 주어져도 골절이 생기는 것
"
531,유방의 퇴행,SS000548,"유방이 작아짐
"
532,복수,SS000403,"혈액 중의 액체성분의 일부가 혈관 벽으로부터 빠져나와 복강 내에 수분이 고여 있는 것
"
533,상처보다 넓게 자람,SS000818,"수술 부위, 염증 등의 흉터가 상처부위보다 넓게 생김 
"
534,손목에 심한 붓기와 통증,SS000503,"골절이 있는 부위에 체액이 몰려 매우 붓고 아픈 느낌
"
535,의식 불명,SS000118,"자기 자신이나 사물에 대하여 인식하는 능력이 없어짐
"
536,피부 각질,SS000842,"피부의 표피를 구성하는 납작한 비늘같은 세포층
"
537,뇌수종,SS000279,"뇌에 과도한 뇌척수액이 있는 상태
"
538,철결핍성 빈혈,SS000711,"적혈구 내의 헤모글로빈을 구성하는 중요한 성분인 철분이 부족하여 헤모글로빈이 감소한 상태
"
539,촘촘하게 난 털,SS000838,"피부에 난 털의 양이 많아지고 굵기가 굵어짐
"
540,레이노이드 현상,SS000510,"여러가지 원인에 의해 손이나 발 등의 말초 부위 혈액순환을 감소시켜 저리거나 창백해지는 등의 이상 증상을 보이는 것
"
541,비웃는 듯한 표정,SS000297,"자신의 의지와 상관없이 안면 근육이 수축되어 비웃는 것과 같은 표정이 지어짐
"
542,청각과민,SS000053,"청각이 지나치게 예민함
"
543,"입술, 입천장의 기형",SS000572,"선천적으로 입술이나 입천장이 갈라진 상태
"
544,피부경화,SS000847,"부드러운 조직이 부종, 출혈, 염증 등의 병적 원인에 의해 단단해지는 것
"
545,구내염,SS000556,"혀를 포함하여 구강 내벽에 생기는 염증
"
546,초조함,SS000144,"마음이 조마조마함
"
547,위의 연동운동이 보임,SS000420,"위가 꿈틀거리며 움직이는 것이 육안으로 보임
"
548,태선화,SS000839,"피부가 건조하고 딱딱해져 가죽처럼 두꺼워지는 현상
"
549,자세이상,SS000263,"구부정하거나 아장아장 걷는 등의 이상한 자세
"
550,성선 기능 저하증,SS000661,"성선자극호르몬의 분비가 감소되거나 성선호르몬의 분비가 감소되어 나타나는 증세
"
551,검붉은 색 피부 ,SS000783,"피부색이 검붉게 변함
"
552,파열부위 오목해짐,SS000776,"혈관, 조직 등이 찢어지면서 그 부위가 움푹 파임
"
553,얼굴모양변화,SS000309,"치열 변화, 턱관절 손상 등으로 얼굴의 모양이 변함
"
554,식후 불쾌감,SS000409,"식사 후 복부에 팽만감이나 통증과 같은 불편함이 있음
"
555,눈운동신경마비,SS000184,"눈의 운동을  주관하는 신경이 기능을 하지 못하는 상태
"
556,미란,SS000803,"표층에 국한되는 얕은 수준의 피부 궤양
"
557,말초의 허혈,SS000765,"신체 끝부분에 혈관이 막히거나 좁아져 혈액순환이 안되는 상태
"
558,치아 흔들림,SS000579,"이가 흔들림
"
559,"손,발톱이 두꺼워짐",SS000515,"손발톱이 두꺼워져 모양에 변형이 생김
"
560,정상적인 성생활 불가능,SS000479,"성생활이 어려움
"
561,탈장,SS000429,"체내에 존재하는 비정상적인 구멍을 통해 장기의 일부분이 정상적인 위치에서 빠져나가는 것
"
